Grup,Code,Camp,Nom del camp,Context,Proposta,Instruccions
2-NATURAL,DW-S01-EA76,Dec_Present,Decoracio present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,RockArt_Present,Art rupestre present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Chinking_Stones,Falques entre carreus,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Recessed_Frame,Marc rebaixat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Human_Remains,Restes humanes,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Support_Modified,Suport modificat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Anatomical_Connection,Connexio anatomica,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mummification,Momificacio,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Funerary_Bundles,Fardells funeraris,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Dispersed_Remains,Restes disperses,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Flexed_Position,Posicio flexionada,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Bone_Burning,Os cremat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_Textiles,Materials: textils,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_Wood,Materials: fusta,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_VegFiber,Materials: fibra vegetal,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_Ceramics,Materials: ceramica,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_Fauna,Materials: fauna,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_DeerAntler,Materials: banya de cervol,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mat_Other,Materials: altres,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Looting,Espoli,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Fire_Damage,Dany per foc,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Animal_Activity,Activitat animal,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Modern_Access,Acces modern,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Mortar_Present,Morter present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Plaster_Present,Revestiment present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Pigment_Present,Pigment present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Dec_Present,Decoracio present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,RockArt_Present,Art rupestre present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Chinking_Stones,Falques entre carreus,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Recessed_Frame,Marc rebaixat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Human_Remains,Restes humanes,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S05-EA02,Support_Modified,Suport modificat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Anatomical_Connection,Connexio anatomica,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Mummification,Momificacio,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Funerary_Bundles,Fardells funeraris,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Dispersed_Remains,Restes disperses,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Flexed_Position,Posicio flexionada,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Bone_Burning,Os cremat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S06-EA04,Mat_Textiles,Materials: textils,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
