Code;Field;Value_v11;Rule
"DW-S01-EA01";"Lost_Body_Evidence";"None";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA01";"Dec_Square_Niche";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA01";"Dec_Relief_T";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA02";"Plaster_Color";"White, Red";"C: no combined value and no secondary colour field for plaster"
"DW-S01-EA02";"Mortar_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Funerary_Bundles";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Flexed_Position";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Bone_Burning";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Mat_VegFiber";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Mat_Ceramics";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Mat_Fauna";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Mat_DeerAntler";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Mat_Other";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA02";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Relief_Frieze";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Chamber_Roof";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA02";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA02";"Lost_Body_Evidence";"None";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA02";"Dec_Square_Niche";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA02";"RA_Anthropomorphic";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA02";"RA_Zoomorphic";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA06";"ID_Support";"Fissure/Crack";"C: value split into Vertical cleft / Bedding-plane recess"
"DW-S01-EA06";"Doc_Basis";"Close-range photogrammetry";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA06";"Support_Modified";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Plaster_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Looting";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Funerary_Bundles";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Bone_Burning";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Mat_Ceramics";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Mat_Fauna";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Mat_DeerAntler";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Mat_Other";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Transverse_Beams";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA06";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Structural_Pilasters";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Upper_Crown";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Chamber_Roof";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA06";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA06";"Lost_Body_Evidence";"ND";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA06";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA07a";"ID_Material_Status";"Absent";"B: Absent -> Cultural_Materials_Present = 0, status NULL"
"DW-S01-EA07a";"Doc_Basis";"Close-range photogrammetry";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA07a";"Phase_Evidence";"Adjacent";"C: not in the v15 domain - abutment belongs in T_CONNECTIONS"
"DW-S01-EA07a";"Mortar_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07a";"Plaster_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07a";"Looting";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07a";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07a";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07a";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07a";"Decorative_Socle";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07a";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07a";"Corbelled_Courses";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07a";"Lost_Body_Evidence";"ND";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA07a";"Dec_Square_Niche";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA07b";"ID_Material_Status";"Absent";"B: Absent -> Cultural_Materials_Present = 0, status NULL"
"DW-S01-EA07b";"Doc_Basis";"Close-range photogrammetry";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA07b";"Phase_Evidence";"Adjacent";"C: not in the v15 domain - abutment belongs in T_CONNECTIONS"
"DW-S01-EA07b";"Support_Modified";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07b";"Looting";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07b";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07b";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07b";"Human_Remains";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA07b";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07b";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07b";"Transverse_Beams";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07b";"Corbelled_Courses";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07b";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA07b";"Lost_Body_Evidence";"ND";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA07b";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA09";"Doc_Basis";"Ground photography";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA09";"Embedded_Base_Beams";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA09";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA09";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA09";"Lost_Body_Evidence";"Corbels into void";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA09";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA10";"Doc_Basis";"Ground photography";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA10";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA10";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA10";"Lost_Body_Evidence";"Pigment on bedrock";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA11";"ID_Material_Status";"Absent";"B: Absent -> Cultural_Materials_Present = 0, status NULL"
"DW-S01-EA11";"Lost_Body_Evidence";"Pigment on bedrock";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA11";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA12";"Doc_Basis";"Close-range photogrammetry";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA12";"Pigment_Extent";"Arch. elements";"B: normalised to Architectural elements"
"DW-S01-EA12";"Mortar_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Plaster_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Recessed_Frame";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Looting";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Human_Remains";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Dispersed_Remains";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA12";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA12";"Corner_Quoins";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA12";"Structural_Pilasters";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA12";"Relief_Frieze";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA12";"Jambs";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Upper_Crown";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Eave_Beam";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Eave_Surface";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Chamber_Roof";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA12";"Lost_Body_Evidence";"Truncated walls";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA12";"Dec_Relief_T";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA12";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA15";"Plaster_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA15";"Looting";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA15";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA15";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA15";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA15";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA15";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA15";"Corbelled_Courses";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA15";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA15";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA15";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA15";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA15";"Dec_Square_Niche";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA15";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA17";"Pigment_Color";"White, Red";"B: converted to Both"
"DW-S01-EA17";"Plaster_Color";"White, Red";"C: no combined value and no secondary colour field for plaster"
"DW-S01-EA17";"Mat_Other";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA17";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Decorative_Socle";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Structural_Pilasters";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Relief_Frieze";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Upper_Crown";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA17";"Eave_Surface";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Chamber_Roof";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA17";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA17";"Eave";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA17";"Lost_Body_Evidence";"None";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA17";"Dec_Square_Niche";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA17";"Dec_Relief_T";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA17";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA18";"ID_Material_Status";"Absent";"B: Absent -> Cultural_Materials_Present = 0, status NULL"
"DW-S01-EA18";"Plaster_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA18";"Pigment_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA18";"Looting";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA18";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA18";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA18";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA18";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Relief_Frieze";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Upper_Crown";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Eave_Surface";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Chamber_Roof";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA18";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA18";"Eave";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA18";"Dec_Relief_T";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA21";"Doc_Basis";"Ground photography";"C: the v11 scale does not map onto the ordinal one (12.2)"
"DW-S01-EA21";"Mortar_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA21";"Chinking_Stones";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA21";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA21";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA21";"Corbelled_Courses";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA21";"Lost_Body_Evidence";"Corbels into void";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA22a";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA22a";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA22a";"Structural_Pilasters";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA22a";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA22a";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA22a";"Lost_Body_Evidence";"ND";"C: field retired - see EXP_LOST_PROPOSED.csv"
"DW-S01-EA22b";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA36";"Pigment_Present";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Bone_Burning";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_Textiles";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_Wood";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_VegFiber";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_Ceramics";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_Fauna";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_DeerAntler";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Mat_Other";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA36";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA36";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA36";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA36";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA36";"Upper_Crown";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Chamber_Roof";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA36";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA36";"RA_Zoomorphic";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA38";"ID_Material_Status";"Absent";"B: Absent -> Cultural_Materials_Present = 0, status NULL"
"DW-S01-EA38";"Tie_Walls";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA38";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA38";"Transverse_Beams";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA39";"ID_Material_Status";"Absent";"B: Absent -> Cultural_Materials_Present = 0, status NULL"
"DW-S01-EA39";"Tie_Walls";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA39";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA39";"Return_Wall";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA39";"RA_Abstract";"1";"C: boolean retired - the detail lives in T_DECORATIONS"
"DW-S01-EA40a";"Phase_Evidence";"Adjacent";"C: not in the v15 domain - abutment belongs in T_CONNECTIONS"
"DW-S01-EA40a";"Support_Modified";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Fire_Damage";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Animal_Activity";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Modern_Access";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Mat_Fauna";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Mat_DeerAntler";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Mat_Other";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Transverse_Beams";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Corbelled_Courses";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Interbody_Cornice";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Corner_Quoins";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA40a";"Structural_Pilasters";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Relief_Frieze";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA40a";"Upper_Crown";"9";"D2: 9 inherited from the v10 default, not a judgement"
