Code;Sector_Name;Typology_Name;Support_Name;Support_Secondary_Name;Parent_Code;Group_Code;Arch_Status_Name;Material_Status_Name;Cultural_Materials_Present;Coord_Method_Name;Campaign_Code;Doc_Basis;Phase_Evidence;Pigment_Color;Plaster_Color;Pigment_Extent;Opening_Width_m;Opening_Height_m;Support_Width_m;Support_Depth_m;Dec_Present;RockArt_Present;N_Basal_Bodies;N_Chamber_Bodies;N_Built_Walls;Floor_Plan;Length_m;Width_m;Height_m;Height_Above_Base_m;Dim_Method;Masonry_Quality;Masonry_Type;Mortar_Type;Mortar_Notes;Timber_Bracket_Count;Timber_Bracket_Role;Platform_Surface_Material;Interbody_Cornice_Material;Lintel_Material;Chamber_Roof_Type;Rear_Closure_Type;Plaster_Extent;Pigment_Substrate;Facade_Orientation;Visibility_Valley;Sys_Base;Sys_Platform;Sys_Portal;Sys_Eave;Sys_Chamber;Platform_Function;MNI;C14;ChaXR_Documented;Chrono_Start_Cent;Chrono_End_Cent;Construction_Phases;Coord_Lat_WGS84;Coord_Lon_WGS84;Coord_E_UTM;Coord_N_UTM;Altitude_masl;Coord_Precision_m;URL_Pano;URL_Pano_2;URL_Giga;URL_3D;Facade_Observability;Interior_Observability;Notes;Support_Modified;Mortar_Present;Chinking_Stones;Plaster_Present;Pigment_Present;Recessed_Frame;Looting;Fire_Damage;Animal_Activity;Modern_Access;Human_Remains;Anatomical_Connection;Mummification;Funerary_Bundles;Dispersed_Remains;Flexed_Position;Bone_Burning;Mat_Textiles;Mat_Wood;Mat_VegFiber;Mat_Ceramics;Mat_Fauna;Mat_DeerAntler;Mat_Other;Embedded_Base_Beams;Base_Level;Decorative_Socle;Tie_Walls;Timber_Brackets;Transverse_Beams;Corbelled_Courses;Interbody_Cornice;Corner_Quoins;Structural_Pilasters;Facade_Flank;Relief_Frieze;Sill;Jambs;Lintel;Upper_Crown;Return_Wall;Eave_Beam;Eave_Surface;Chamber_Roof;ID_v11;Embedded_Base_Beams_v11;Base_Level_v11;Decorative_Socle_v11;Tie_Walls_v11;Timber_Brackets_v11;Transverse_Beams_v11;Corbelled_Courses_v11;Interbody_Cornice_v11;Corner_Quoins_v11;Structural_Pilasters_v11;Facade_Flank_v11;Relief_Frieze_v11;Sill_v11;Jambs_v11;Lintel_v11;Upper_Crown_v11;Return_Wall_v11;Eave_Beam_v11;Eave_Surface_v11;Chamber_Roof_v11;Corbelled_Platform_v11;Access_Opening_v11;Eave_v11;Rear_Wall_v11;Doc_Basis_v11;Lost_Body_Evidence_v11
"DW-S01-EA17";"DW - Sector 1";"EA-CAM Funerary Chamber";"Medium cavity (1-10m2)";"";"";"";"Good";"Good";1;"";"";"Direct access";"";"Both";"";"Whole facade";;;;;1;1;1;1;1;"Sub-rectangular";;;;;;"Good";"Irregular-coursed";"Mud with organics";;;;;"Stone slabs";"Stone";"Mixed";;"Full facade";"Mixed";;;;;;;;;;0;0;;;;;;;;;;;;;;"Complete";"Complete";;;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;;0;;;0;0;0;;;;;;;;;;;;0;;;12;0;1;1;0;0;0;;1;;1;;1;1;1;1;9;;0;1;1;;1;1;0;"Direct access";"None"
"DW-S01-EA18";"DW - Sector 1";"EA-CAM Funerary Chamber";"Medium cavity (1-10m2)";"";"";"";"Fair";"";0;"";"";"Direct access";"";"";"";"";;;;;1;0;1;1;1;"Sub-rectangular";;;;;;"Moderate";"Irregular-coursed";"Mud with organics";;1;"Isolated";"ND";"Stone slabs";"Stone";"Natural bedrock";"Natural bedrock";;;;"Low";;"Absent";;;;;;0;0;;;;;;;;;;;;;;"Complete";"Complete";;;1;1;;;1;;;;;0;;;;;;;;;;;;;;0;;0;0;;0;0;;0;0;;;;;;;0;0;;;13;0;1;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;1;1;9;"Direct access";""
"DW-S01-EA21";"DW - Sector 1";"MEN Isolated Bracket";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"";;"";"";"";"";"";"";"";;;;;;;1;0;0;"Sub-rectangular";;;;;;"ND";;;;2;"Isolated";;;;"ND";;;;;"Medium";;"Absent";;;;;;0;0;;;;;;;;;;;;;;"Partial";"Partial";;;;;;;;;;;;0;;;;0;;;;;;;;;;0;;0;0;;0;;;;;;;;;0;;;;;;8;0;1;0;0;1;0;9;;;;;;;;0;;;;;;0;;;;"Ground photography";"Corbels into void"
"DW-S01-EA22a";"DW - Sector 1";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"Medium cavity (1-10m2)";"";"";"";"";;"";"";"";"";"Red";"";"Traces";;;;;;;1;1;;;;;;;;"Good";"Well-coursed";;;;;;"Stone slabs";;;;;"Masonry stone";;;;;"Not observable";;;;;0;0;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;1;;;;;;1;;1;1;;;1;;;;;;;;9;;;"";"ND"
"DW-S01-EA22b";"DW - Sector 1";"EA-PLA-R Ledge Platform";"Narrow natural ledge (<2m)";"";"";"";"";"";;"";"";"";"";"";"";"";;;;;;;2;;0;"Rectangular";;;;;;"Good";;;;;;;;;;;;;;;;;;;;;;0;0;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;1;;;;;;;;;;;;;;;;;;;;;;;"";""
"DW-S01-EA36";"DW - Sector 1";"EA-CAM Funerary Chamber";"Large cavity (>10m2)";"";"";"";"Fair";"Poor";1;"";"";"Direct access";"";"";"White";"";;;;;;1;1;1;2;"Rectangular";;;;;;"Moderate";"Well-coursed";"Mud with organics";;;;;"Stone slabs";"Stone";"ND";"Natural bedrock";"Traces only";;;;;"Absent";;;;;1;0;0;;;;;;;;;;;;;;"Complete";"Complete";;;1;1;1;;0;1;;;1;1;0;1;0;1;1;;;;;;;;;0;0;0;0;0;;;;;0;;0;;;;;;;;;17;0;0;0;0;0;;;1;;0;1;0;1;1;1;9;;;;9;0;1;;9;"Direct access";""
"DW-S01-EA38";"DW - Sector 1";"Not yet classified";"Artificial ledge";"";"";"";"Pre-collapse";"";0;"";"";"";"";"";"";"";;;;;;;1;1;1;"ND";;;;;;"Poor";"Irregular-coursed";;;5;"Platform support";"Stone";;;;;;;;"High";;;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;35;;0;;1;1;1;;;;;;;;;;;;;;;;;;;"";""
"DW-S01-EA39";"DW - Sector 1";"Not yet classified";"Artificial ledge";"";"";"";"Pre-collapse";"";0;"";"";"";"";"Red";"";"ND";;;;;;1;1;1;1;"Sub-rectangular";;;;;;"Good";"Well-coursed";;;7;"Platform support";;;;;;;"Bedrock";;"High";;;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;0;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;34;;0;;1;1;0;;;;;;;;;;;9;;;;;;;;"";""
"DW-S01-EA40a";"DW - Sector 1";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"Fair";1;"";"";"Direct access";"";"Red";"Ochre";"Traces";;;;;1;1;1;2;3;"Rectangular";;;;;;"Good";"Well-coursed";"Mud with organics";;2;"Platform support";;"Stone slabs";"Stone";"Built timber and slabs";"Natural bedrock";"Full facade";"Masonry stone";;"Medium";;"Not observable";;"Not observable";;;6;0;0;;;2;;;;;;;;;;;"Complete";"Partial";;;1;1;1;1;1;0;;;;1;1;1;1;1;1;0;1;1;1;0;;;;0;;0;0;;;;;;;;;;;;;;;;;15;0;1;0;0;1;9;9;1;9;1;1;1;1;1;1;9;1;9;9;1;9;1;9;9;"Direct access";"Truncated walls"
"DW-S01-EA40b";"DW - Sector 1";"Not yet classified";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"Poor";1;"";"";"Direct access";"";"";"";"";;;;;1;0;1;2;2;"Rectangular";;;;;;"Moderate";"Irregular-coursed";"Mud with organics";;;;;"Stone slabs";;"Built timber and slabs";;;;;"Medium";;;;"Absent";;;1;0;0;;;2;;;;;;;;;;;"Complete";"Complete";;;1;1;;;;;;;;1;1;;0;1;1;0;;1;;0;;0;0;0;;;0;0;0;;;;;;;;;0;;;0;0;0;16;0;1;1;0;0;0;;1;1;;;;;;0;;1;0;0;0;;;0;;"Direct access";"ND"
"DW-S01-EA41";"DW - Sector 1";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"";"";"";"Good";"";0;"";"";"Direct access";"";"";"";"";;;;;1;;1;1;2;"Square";;;;;;"Moderate";"Irregular-coursed";"Mud";"morter grogós";;;;;"Stone";"Natural bedrock";"Natural bedrock";;;;"Low";;;;"Not observable";;;1;0;0;;;;;;;;;;;;;;"Complete";"Complete";;;1;1;;;1;;;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;0;;;;;;;;;0;;;14;0;1;0;0;0;0;;1;0;1;1;1;1;1;1;9;9;0;9;9;;1;9;1;"Direct access";"None"
"DW-S01-EA47";"DW - Sector 1";"CAV Cave/Cavern";"Medium cavity (1-10m2)";"";"";"";"";"";;"";"";"";"";"";"";"";;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;"";""
"DW-S02-EA01";"DW - Sector 2";"EA-CAM Funerary Chamber";"Medium cavity (1-10m2)";"";"";"";"Collapsed";"Poor";1;"";"";"Direct access";"";"";"";"";;;;;;;1;1;2;"Sub-rectangular";;;;;;"Moderate";"Irregular-coursed";"Mud";;;;;"Stone slabs";;;;;;;"Low";;;;;;;3;0;0;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;1;;;9;;;1;1;1;1;9;;1;9;;;;;;;;;;"Direct access";"Truncated walls"
"DW-S03-EA01";"DW - Sector 3";"CAV Cave/Cavern";"Large cavity (>10m2)";"";"";"";"Collapsed";"Poor";1;"";"";"";"";"";"";"";;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;;;;;;1;;;1;1;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;"";""
"DW-S04-EA01";"DW - Sector 4";"EA-PLA-R Ledge Platform";"Narrow natural ledge (<2m)";"";"";"";"Fair";"";0;"";"";"";"";"";"";"";;;;;1;1;1;0;0;"Sub-rectangular";;;;;;"Good";"Well-coursed";"Mud";;;;;"Stone slabs";;;;;;;"High";;"Not observable";;;;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;1;;;;;;1;;;;;;;;;;;;;9;;;;"Distant photogrammetry";"Detached debris"
"DW-S04-EA02a";"DW - Sector 4";"EA-PLA-R Ledge Platform";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"";0;"";"";"";"";"";"";"";;;;;;0;1;0;;"Irregular";;;;;;"Moderate";"Irregular-coursed";;;;;;;;;;;;;"High";;;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;;;;0;;;;0;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;22;0;1;0;;;;;;;;;;;;;;;;;;;;;;"";"ND"
"DW-S04-EA02b";"DW - Sector 4";"NIX Natural Niche";"";"";"";"";"";"";;"";"";"";"";"";"";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;"";""
"DW-S04-EA03";"DW - Sector 3";"EA-MAU Mausoleum/Chullpa";"Medium cavity (1-10m2)";"";"";"";"Good";"";0;"";"";"";"";"Both";"";"Traces";;;;;1;;1;1;2;"Sub-rectangular";;;;;;"Good";"Well-coursed";"Mud";;2;"Platform support";;"Stone slabs";"Stone";"ND";"Built masonry";;"Masonry stone";;"Medium";;;;;;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;;1;;;;;;;;;;;;;;;;;;;;0;;0;0;;;;;;0;;;;;;;;;;;24;0;1;0;0;1;9;;1;;0;;1;1;1;1;9;1;9;;9;;1;;9;"Close-range photogrammetry";"None"
"DW-S04-EA04";"DW - Sector 4";"EA-CAM Funerary Chamber";"Medium cavity (1-10m2)";"";"";"";"Good";"";0;"";"";"Direct access";"";"Red";"Red";"Traces";;;;;1;1;1;1;1;"Irregular";;;;;;"Good";"Well-coursed";"Mud";;;;;"Stone slabs";"Stone";"Mixed";;"Traces only";"Mixed";;"Low";;;;"Not observable";;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;1;1;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;25;;1;;;0;;;1;;;;1;1;1;1;9;;;;1;;1;9;;"Direct access";"None"
"DW-S04-EA05";"DW - Sector 4";"EA-CAM Funerary Chamber";"Medium cavity (1-10m2)";"";"";"";"Fair";"";0;"";"";"";"";"";"";"";;;;;;;1;1;1;"Irregular";;;;;;"Poor";"Irregular-coursed";"Mud";;;;;"Stone slabs";"Stone";"ND";;;;;"Low";;;;"Absent";;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;26;;1;;;;;;1;;0;;1;1;1;1;;;0;0;9;;1;0;;"Close-range photogrammetry";""
"DW-S04-EA09";"DW - Sector 4";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"";"";"";"Good";"Poor";1;"";"";"Direct access";"";"Red";"";"Decorative motifs";;;;;1;;2;1;2;"Trapezoidal";;;;;;"Good";"Well-coursed";"Mud";;;;;"Stone slabs";"Stone";"Built timber and slabs";;;"Masonry stone";;"High";;;;"Not observable";;;3;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;;1;;;;;;1;1;1;;1;;;;;;;;;;0;;0;;;;;;;0;;;;;;;;0;0;;27;0;1;0;;;;;1;1;0;;1;1;1;1;;1;0;0;1;1;1;9;;"Direct access";"None"
"DW-S04-EA12a";"DW - Sector 4";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"Artificial ledge";"";"";"Pre-collapse";"";0;"";"";"";"";"";"";"";;;;;;;1;1;3;"Rectangular";;;;;;"Good";"Well-coursed";;;;;;"Wooden beams";;"ND";;;;;;;"Not observable";;;;;1;0;0;;;;;;;;;;;;;;"Complete";"Partial";;1;;1;;;;;;;;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;;1;;;9;;;1;;;;;;;9;;;;;;9;;;;"";"Truncated walls"
"DW-S04-EA12b";"DW - Sector 4";"EA-PLA-V Aerial Platform";"";"";"";"";"Collapsed";"";0;"";"";"";"";"";"";"";;;;;;;1;;;;;;;;;;;;;5;"Platform support";"Stone";;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;"Complete";"Complete";;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;1;1;;;;;;;;;;;;;;;1;;;;"";"Corbels into void"
"DW-S04-EA15";"DW - Sector 4";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"";0;"";"";"";"";"";"";"";;;;;1;;1;1;3;"Trapezoidal";;;;;;"Moderate";"Irregular-coursed";;;;;;"Stone slabs";;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;1;;;;;;1;;;;;;;;;1;;;;;;;;"";"Truncated walls"
"DW-S04-EA18";"DW - Sector 4";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"Poor";1;"";"";"";"";"Red";"";"Traces";;;;;1;;1;1;3;"Sub-rectangular";;;;;;"Moderate";"Irregular-coursed";;;;;;"Stone slabs";;;;;"Masonry stone";;;;;;;;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;1;1;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;1;;;;;;1;;;;;;;;;;;;;;1;;;"";"Truncated walls"
