Code,Label,Canonical,Valid,Geometry,Plane,Metric,Element,Body,Letter,Also,Body2,Status,Dims,N_Vertices,Area_Proj_m2,Width_m,Height_m,Area_Real_m2,Obliquity_deg,Len3D_m,Len_Vert_m,Len_Horiz_m,Chord_m,Metric_Value_m,QC_Flags,Suggestion
DW-S01-EA06,l-0.1-c,l-0.1-c,si,polygon,l,,,0.1,,,,-c,3D,26,0.242,0.558,0.698,0.249,13.6,,,,,,,
DW-S01-EA06,l-1.1-c,l-1.1-c,si,polygon,l,,,1.1,,,,-c,3D,19,0.461,0.625,1.073,0.463,5.5,,,,,,,
DW-S01-EA06,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,25,1.268,1.446,1.060,1.301,12.9,,,,,,,
DW-S01-EA06,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,5,0.273,0.538,0.563,0.278,11.0,,,,,,,
DW-S01-EA06,f-ll-bra-1.1a,f-ll-bra-1.1a,si,line,f,ll,bra,1.1,a,,,cons,3D,2,,,,,,0.422,0.105,0.409,0.422,0.422,,
DW-S01-EA06,f-ll-bra-1.1b,f-ll-bra-1.1b,si,line,f,ll,bra,1.1,b,,,cons,3D,2,,,,,,0.755,0.233,0.718,0.755,0.755,,
DW-S01-EA06,f-ll-bra-1.1c,f-ll-bra-1.1c,si,line,f,ll,bra,1.1,c,,,cons,3D,2,,,,,,0.642,0.067,0.639,0.642,0.642,,
DW-S01-EA06,l-ll-bra-1.1d,l-ll-bra-1.1d,si,line,l,ll,bra,1.1,d,,,cons,3D,2,,,,,,0.211,0.014,0.211,0.211,0.211,,
DW-S01-EA06,t-corn-0.1-1.0,t-corn-0.1-1.0,si,polygon,t,,corn,0.1,,,1.0,cons,3D,12,0.072,0.535,0.173,0.074,13.1,,,,,,,
DW-S01-EA06,f-crown-1.1,f-crown-1.1,si,polygon,f,,crown,1.1,,,,cons,3D,17,0.369,1.163,0.395,0.379,13.3,,,,,,,
DW-S01-EA06,t-roof-1.1,t-roof-1.1,si,polygon,t,,roof,1.1,,,,cons,3D,26,0.179,1.267,0.269,0.195,23.1,,,,,,,
DW-S01-EA06,bo-roof-1.1,bo-roof-1.1,si,polygon,bo,,roof,1.1,,,,cons,3D,25,0.915,1.136,1.659,0.920,6.4,,,,,,,
DW-S01-EA06,bo-roof-1.1-r,bo-roof-1.1-r,si,polygon,bo,,roof,1.1,,,,-r,3D,21,1.222,1.181,1.646,1.244,10.8,,,,,,,
DW-S01-EA06,f-dd-wall-1.1,f-dd-wall-1.1,si,line,f,dd,wall,1.1,,,,cons,3D,2,,,,,,0.164,0.061,0.152,0.164,0.164,,
DW-S01-EA06,t-int-1.1-c,t-int-1.1-c,si,polygon,t,,int,1.1,,,,-c,3D,30,1.153,1.129,1.498,1.206,17.1,,,,,,,
DW-S01-EA07,f-0.1b-c,f-0.1b-c,si,polygon,f,,,0.1,b,,,-c,3D,14,0.777,0.771,1.132,0.829,20.4,,,,,,,
DW-S01-EA07,f-0.1a-c,f-0.1a-c,si,polygon,f,,,0.1,a,,,-c,3D,22,1.043,1.158,1.192,1.114,20.5,,,,,,,
DW-S01-EA07,t-0.1-c,t-0.1-c,si,polygon,t,,,0.1,,,,-c,3D,24,1.712,1.821,1.461,1.758,13.0,,,,,,,
DW-S01-EA07,f-ll-ebeam-c,f-ll-ebeam-c,si,line,f,ll,ebeam,,,,,-c,3D,2,,,,,,1.701,0.112,1.698,1.701,1.701,,
DW-S01-EA07,f-ll-bra-0.1,f-ll-bra-0.1,si,line,f,ll,bra,0.1,,,,cons,3D,2,,,,,,0.677,0.105,0.669,0.677,0.677,,
DW-S01-EA12,f-0.1,f-0.1,si,polygon,f,,,0.1,,,,cons,3D,19,2.077,2.550,1.238,2.095,7.6,,,,,,,
DW-S01-EA12,r-0.1,r-0.1,si,polygon,r,,,0.1,,,,cons,3D,31,1.550,1.535,1.422,1.566,8.2,,,,,,,
DW-S01-EA12,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,29,1.342,1.639,1.063,1.347,4.9,,,,,,,
DW-S01-EA12,r-1.1,r-1.1,si,polygon,r,,,1.1,,,,cons,3D,25,0.431,0.609,0.944,0.478,25.5,,,,,,,
DW-S01-EA12,f-1.2,f-1.2,si,polygon,f,,,1.2,,,,cons,3D,37,0.592,1.407,0.929,0.637,21.7,,,,,,,
DW-S01-EA12,r-1.2,r-1.2,si,polygon,r,,,1.2,,,,cons,3D,17,0.320,0.424,0.925,0.323,8.5,,,,,,,
DW-S01-EA12,t-int,t-int,si,polygon,t,,int,,,,,cons,3D,12,3.036,2.722,1.344,3.228,19.9,,,,,,,
DW-S01-EA12,t-corn-0.1-1.1,t-corn-0.1-1.1,si,polygon,t,,corn,0.1,,,1.1,cons,3D,18,0.229,1.405,0.270,0.238,15.7,,,,,,,
DW-S01-EA12,t-corn-1.1-1.2,t-corn-1.1-1.2,si,polygon,t,,corn,1.1,,,1.2,cons,3D,15,0.139,1.164,0.156,0.151,22.5,,,,,,,
DW-S01-EA12,r-dd-wall-1.1-c,r-dd-wall-1.1-c,si,line,r,dd,wall,1.1,,,,-c,3D,2,,,,,,0.260,0.007,0.260,0.260,0.260,,
DW-S01-EA12,f-ll-wall-0.1+1.1+1.2-c,f-ll-wall-0.1+1.1+1.2-c,si,line,f,ll,wall,0.1,,f-1.1+f-1.2,,-c,3D,4,,,,,,2.513,0.326,2.491,2.509,2.513,,
DW-S01-EA12,f-hh-wall-1.1-c,f-hh-wall-1.1-c,si,line,f,hh,wall,1.1,,,,-c,3D,2,,,,,,1.003,1.001,0.065,1.003,1.001,,
DW-S01-EA12,r-hh-wall-1.2-r,r-hh-wall-1.2-r,si,line,r,hh,wall,1.2,,,,-r,3D,2,,,,,,1.071,1.068,0.076,1.071,1.068,,
DW-S01-EA12,r-ll-wall-0.1+1.1+1.2-c,r-ll-wall-0.1+1.1+1.2-c,si,line,r,ll,wall,0.1,,r-1.1+r-1.2,,-c,3D,2,,,,,,1.501,0.076,1.499,1.501,1.501,,
DW-S01-EA12,f-dd-wall-1.1+1.2-c,f-dd-wall-1.1+1.2-c,si,line,f,dd,wall,1.1,,f-1.2,,-c,3D,2,,,,,,0.299,0.036,0.297,0.299,0.299,,
DW-S01-EA12,r-dd-wall-1.2,r-dd-wall-1.2,si,line,r,dd,wall,1.2,,,,cons,3D,2,,,,,,0.254,0.017,0.253,0.254,0.254,,
DW-S01-EA15,f-0.1,f-0.1,si,polygon,f,,,0.1,,,,cons,3D,29,0.380,0.923,0.622,0.388,11.7,,,,,,,
DW-S01-EA15,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,53,1.449,1.728,1.217,1.534,19.1,,,,,,,
DW-S01-EA15,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,11,0.510,0.784,0.702,0.530,15.9,,,,,,,
DW-S01-EA15,t-corn-0.1-1.1,t-corn-0.1-1.1,si,polygon,t,,corn,0.1,,,1.1,cons,3D,14,0.031,0.651,0.152,0.033,18.3,,,,,,,
DW-S01-EA15,l-port-1.1-c,l-port-1.1-c,si,polygon,l,,port,1.1,,,,-c,3D,17,0.112,0.208,0.673,0.117,17.8,,,,,,,f-ll-port-1.1-c
DW-S01-EA15,t-int,t-int,si,polygon,t,,int,,,,,cons,3D,37,3.738,1.593,3.557,3.749,4.3,,,,,,,
DW-S01-EA15,f-1.1-r,f-1.1-r,si,polygon,f,,,1.1,,,,-r,3D,38,2.047,1.765,1.756,2.144,17.2,,,,,,,
DW-S01-EA16,f-0.1,f-0.1,si,polygon,f,,,0.1,,,,cons,3D,16,0.116,0.515,0.341,0.159,43.2,,,,,,,
DW-S01-EA16,f-cav,f-cav,si,polygon,f,,cav,,,,,cons,3D,22,0.986,0.996,1.598,1.054,20.7,,,,,,,
DW-S01-EA16,t-cav,t-cav,si,polygon,t,,cav,,,,,cons,3D,23,1.349,0.750,2.168,1.358,6.4,,,,,,,
DW-S01-EA17,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,13,1.674,2.010,1.052,1.693,8.5,,,,,,,
DW-S01-EA17,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,6,2.350,1.794,1.351,2.373,8.0,,,,,,,
DW-S01-EA17,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,7,0.310,0.540,0.611,0.316,10.6,,,,,,,
DW-S01-EA17,t-corn-0.1-1.1,t-corn-0.1-1.1,si,polygon,t,,corn,0.1,,,1.1,cons,3D,18,0.424,1.384,0.413,0.425,3.9,,,,,,,
DW-S01-EA17,l-port-1.1-c,l-port-1.1-c,si,polygon,l,,port,1.1,,,,-c,3D,11,0.111,0.299,0.614,0.112,3.8,,,,,,,f-ll-port-1.1-c
DW-S01-EA17,t-port-1.1-c,t-port-1.1-c,si,polygon,t,,port,1.1,,,,-c,3D,9,0.093,0.549,0.207,0.093,6.2,,,,,,,
DW-S01-EA17,bo-roof-1.1,bo-roof-1.1,si,polygon,bo,,roof,1.1,,,,cons,3D,14,1.121,1.639,0.843,1.124,4.0,,,,,,,
DW-S01-EA17,b-crown-1.1,b-crown-1.1,si,polygon,b,,crown,1.1,,,,cons,3D,30,0.568,1.517,0.760,0.574,8.3,,,,,,,
DW-S01-EA17,t-int-1.1-c,t-int-1.1-c,si,polygon,t,,int,1.1,,,,-c,3D,28,4.593,1.982,2.767,4.599,3.2,,,,,,,
DW-S01-EA17,t-int-1.1-c,t-int-1.1-c,si,polygon,t,,int,1.1,,,,-c,3D,16,2.028,1.416,2.083,2.042,6.8,,,,,,,
DW-S01-EA17,bo-eave-1.1,bo-eave-1.1,si,polygon,bo,,eave,1.1,,,,cons,3D,21,0.347,1.769,0.301,0.352,10.1,,,,,,,
DW-S01-EA17,t-eave-1.1,t-eave-1.1,si,polygon,t,,eave,1.1,,,,cons,3D,26,0.698,1.842,0.548,0.700,3.8,,,,,,,
DW-S01-EA62,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,15,0.242,1.123,0.283,0.322,41.2,,,,,,,
DW-S01-EA62,f-1.1-r,f-1.1-r,si,polygon,f,,,1.1,,,,-r,3D,14,1.532,1.315,1.327,1.575,13.5,,,,,,,
DW-S01-EA62,t-1.1-r,t-1.1-r,si,polygon,t,,,1.1,,,,-r,3D,16,0.629,0.757,1.101,0.639,9.8,,,,,,,
DW-S01-EA71,t-int-0.1,t-int-0.1,si,polygon,t,,int,0.1,,,,cons,3D,16,1.016,1.536,1.226,1.022,6.1,,,,,,,
DW-S01-EA71,f-0.1,f-0.1,si,polygon,f,,,0.1,,,,cons,3D,17,0.666,1.146,0.854,0.741,26.0,,,,,,,
DW-S01-EA18,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,18,0.206,1.065,0.286,0.207,6.3,,,,,,,
DW-S01-EA18,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,24,0.835,1.166,0.867,0.840,6.7,,,,,,,
DW-S01-EA18,f-crown-1.1-c,f-crown-1.1-c,si,polygon,f,,crown,1.1,,,,-c,3D,11,0.153,0.746,0.302,0.158,14.0,,,,,,,
DW-S01-EA18,f-1.1-r,f-1.1-r,si,polygon,f,,,1.1,,,,-r,3D,17,1.187,1.578,0.888,1.191,4.6,,,,,,,
DW-S01-EA18,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,5,0.223,0.488,0.505,0.223,3.9,,,,,,,
DW-S01-EA18,l-port-1.1-c,l-port-1.1-c,si,polygon,l,,port,1.1,,,,-c,3D,7,0.080,0.192,0.497,0.080,0.8,,,,,,,f-ll-port-1.1-c
DW-S01-EA18,f-ll-bra-1.1,f-ll-bra-1.1,si,line,f,ll,bra,1.1,,,,cons,3D,2,,,,,,0.364,0.054,0.360,0.364,0.364,,
DW-S01-EA18,t-eave-1.1,t-eave-1.1,si,polygon,t,,eave,1.1,,,,cons,3D,14,0.211,1.013,1.138,0.223,18.9,,,,,,,
DW-S01-EA18,t-corn-1.1,t-corn-1.1,si,polygon,t,,corn,1.1,,,,cons,3D,12,0.090,1.096,0.178,0.100,25.6,,,,,,,
DW-S01-EA19,f-cav,f-cav,si,polygon,f,,cav,,,,,cons,3D,27,1.061,1.001,2.373,1.101,15.4,,,,,,,
DW-S01-EA19,t-cav,t-cav,si,polygon,t,,cav,,,,,cons,3D,27,4.001,1.396,4.547,4.004,2.2,,,,,,,
DW-S01-EA35,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,29,1.161,1.703,1.061,1.168,6.3,,,,,,,
DW-S01-EA35,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,26,1.092,1.701,0.747,1.100,6.9,,,,,,,
DW-S01-EA35,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,7,0.222,0.501,0.487,0.222,4.7,,,,,,,
DW-S01-EA35,r-port-1.1-c,r-port-1.1-c,si,polygon,r,,port,1.1,,,,-c,3D,5,0.112,0.303,0.512,0.113,8.4,,,,,,,
DW-S01-EA35,r-0.1-c,r-0.1-c,si,polygon,r,,,0.1,,,,-c,3D,8,0.152,0.516,0.456,0.158,16.7,,,,,,,
DW-S01-EA35,r-1.1,r-1.1,si,polygon,r,,,1.1,,,,cons,3D,16,0.484,0.787,0.853,0.497,13.1,,,,,,,
DW-S01-EA40,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,40,2.464,2.883,1.090,2.478,6.0,,,,,,,
DW-S01-EA40,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,70,2.648,3.073,1.419,2.652,3.2,,,,,,,
DW-S01-EA40,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,5,0.321,0.629,0.577,0.321,1.0,,,,,,,
DW-S01-EA40,l-1.1,l-1.1,si,polygon,l,,,1.1,,,,cons,3D,36,1.604,1.433,1.649,1.610,5.1,,,,,,,
DW-S01-EA40,l-dd-wall-1.1,l-dd-wall-1.1,si,line,l,dd,wall,1.1,,,,cons,3D,2,,,,,,0.266,0.009,0.266,0.266,0.266,,
DW-S01-EA40,f-dd-wall-1.1,f-dd-wall-1.1,si,line,f,dd,wall,1.1,,,,cons,3D,2,,,,,,0.173,0.032,0.170,0.173,0.173,,
DW-S01-EA40,f-ll-bra-1.1,f-ll-bra-1.1,si,line,f,ll,bra,1.1,,,,cons,3D,2,,,,,,0.654,0.044,0.653,0.654,0.654,,
DW-S01-EA40,f-hh-tie-1.1-c,f-hh-tie-1.1-c,si,line,f,hh,tie,1.1,,,,-c,3D,2,,,,,,0.997,0.993,0.092,0.997,0.993,,
DW-S01-EA40,t-int-1.1-c,t-int-1.1-c,si,polygon,t,,int,1.1,,,,-c,3D,53,1.922,2.733,0.924,1.998,15.9,,,,,,,
DW-S01-EA40,r-tie-1.1-c,r-tie-1.1-c,si,polygon,r,,tie,1.1,,,,-c,3D,22,0.467,0.691,0.838,0.513,24.5,,,,,,,
DW-S01-EA40,f-tie-1.1-c,f-tie-1.1-c,si,polygon,f,,tie,1.1,,,,-c,3D,25,0.223,0.354,0.818,0.224,4.5,,,,,,,
DW-S01-EA40,t-tie-1.1-c,t-tie-1.1-c,si,polygon,t,,tie,1.1,,,,-c,3D,21,0.203,0.587,0.623,0.216,20.3,,,,,,,
DW-S01-EA40,f-tie-1.1-c,f-tie-1.1-c,si,polygon,f,,tie,1.1,,,,-c,3D,23,0.439,0.633,0.945,0.450,12.7,,,,,,,
DW-S01-EA40,l-tie-1.1-c,l-tie-1.1-c,si,polygon,l,,tie,1.1,,,,-c,3D,30,0.114,0.248,0.892,0.117,11.7,,,,,,,f-ll-tie-1.1-c
DW-S01-EA40,r-tie-1.1-c,r-tie-1.1-c,si,polygon,r,,tie,1.1,,,,-c,3D,32,0.115,0.246,0.835,0.121,17.4,,,,,,,
DW-S01-EA40,t-tie-1.1-c,t-tie-1.1-c,si,polygon,t,,tie,1.1,,,,-c,3D,18,0.133,0.594,0.332,0.142,20.8,,,,,,,
DW-S01-EA40,f-hh-int-1.1-c,f-hh-int-1.1-c,si,line,f,hh,int,1.1,,,,-c,3D,2,,,,,,0.993,0.990,0.075,0.993,0.990,,
DW-S01-EA72,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,41,2.356,2.350,1.202,2.370,6.3,,,,,,,
DW-S01-EA72,r-tie-0.1,r-tie-0.1,si,polygon,r,,tie,0.1,,,,cons,3D,41,1.150,0.701,2.266,1.335,30.5,,,,,,,
DW-S01-EA72,l-dd-tie-0.1,l-dd-tie-0.1,si,line,l,dd,tie,0.1,,,,cons,3D,2,,,,,,0.232,0.001,0.232,0.232,0.232,,
DW-S01-EA72,t-int-0.1,t-int-0.1,si,polygon,t,,int,0.1,,,,cons,3D,23,1.581,1.858,0.998,1.582,1.6,,,,,,,
DW-S01-EA72,l-ll-tbeam-1.1-c,l-ll-tbeam-1.1-c,si,line,l,ll,tbeam,1.1,,,,-c,3D,6,,,,,,2.369,0.166,2.363,2.353,2.369,,
DW-S01-EA72,l-hh-tie-1.1,l-hh-tie-1.1,si,line,l,hh,tie,1.1,,,,cons,3D,2,,,,,,2.241,2.241,0.040,2.241,2.241,,
DW-S01-EA72,t-ext-0.1-c,t-ext-0.1-c,si,polygon,t,,ext,0.1,,,,-c,3D,24,2.521,2.432,1.275,2.543,7.5,,,,,,,
DW-S01-EA72,t-corn-0.1,t-corn-0.1,si,polygon,t,,corn,0.1,,,,cons,3D,17,0.202,1.483,0.374,0.210,15.9,,,,,,,
DW-S01-EA72,r-dd-wall-1.1-c,r-dd-wall-1.1-c,si,line,r,dd,wall,1.1,,,,-c,3D,2,,,,,,0.238,0.017,0.237,0.238,0.238,,
DW-S01-EA72,f-ll-bra-0.1,f-ll-bra-0.1,si,line,f,ll,bra,0.1,,,,cons,3D,2,,,,,,0.207,0.063,0.197,0.207,0.207,,
DW-S01-EA50,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,24,1.441,2.960,0.911,1.458,9.0,,,,,,,
DW-S01-EA50,l-0.1-c,l-0.1-c,si,polygon,l,,,0.1,,,,-c,3D,30,0.940,2.004,0.906,0.986,17.5,,,,,,,
DW-S01-EA50,l-1.1,l-1.1,si,polygon,l,,,1.1,,,,cons,3D,33,0.364,1.429,0.990,0.378,15.8,,,,,,,
DW-S01-EA50,r-int-1.1,r-int-1.1,si,polygon,r,,int,1.1,,,,cons,3D,27,0.692,1.670,0.765,0.722,16.5,,,,,,,
DW-S01-EA50,t-int-1.1-r,t-int-1.1-r,si,polygon,t,,int,1.1,,,,-r,3D,23,3.211,1.801,2.243,3.277,11.5,,,,,,,
DW-S01-EA50,l-hh-wall-1.1-r,l-hh-wall-1.1-r,si,line,l,hh,wall,1.1,,,,-r,3D,2,,,,,,1.042,0.982,0.349,1.042,0.982,,
DW-S01-EA50,l-dd-wall-1.1-c,l-dd-wall-1.1-c,si,line,l,dd,wall,1.1,,,,-c,3D,2,,,,,,0.328,0.047,0.324,0.328,0.328,,
DW-S01-EA50,r-dd-wall-1.1-c,r-dd-wall-1.1-c,si,line,r,dd,wall,1.1,,,,-c,3D,2,,,,,,0.249,0.027,0.247,0.249,0.249,,
DW-S03-EA01,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,26,1.147,1.499,1.185,1.149,3.8,,,,,,,
DW-S03-EA01,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,16,0.286,0.512,0.655,0.292,12.3,,,,,,,
DW-S03-EA01,l-0.1-c,l-0.1-c,si,polygon,l,,,0.1,,,,-c,3D,16,0.079,0.241,1.111,0.138,55.0,,,,,,PREFIX_DUBTOS:f,
DW-S03-EA01,l-1.1,l-1.1,si,polygon,l,,,1.1,,,,cons,3D,22,0.177,0.376,0.811,0.217,35.6,,,,,,PREFIX_DUBTOS:r,
DW-S03-EA03,f-cav,f-cav,si,polygon,f,,cav,,,,,cons,3D,26,1.181,1.374,1.324,1.204,11.3,,,,,,,
DW-S03-EA03,f-pil,f-pil,si,polygon,f,,pil,,,,,cons,3D,20,0.251,0.400,0.935,0.284,27.9,,,,,,,
DW-S04-EA01,f-1.0,f-1.0,si,polygon,f,,,1.0,,,,cons,3D,35,1.038,2.508,0.872,1.052,9.2,,,,,,,
DW-S04-EA01,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,21,1.230,2.481,0.779,1.253,11.0,,,,,,,
DW-S04-EA01,t-ext-1.1-r,t-ext-1.1-r,si,polygon,t,,ext,1.1,,,,-r,3D,33,3.340,3.467,1.707,3.561,20.3,,,,,,,
DW-S04-EA01,f-sill-1.1-c,f-sill-1.1-c,si,polygon,f,,sill,1.1,,,,-c,3D,5,0.058,0.920,0.143,0.067,30.5,,,,,,,
DW-S04-EA03,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,7,0.257,0.559,0.577,0.263,12.8,,,,,,,
DW-S04-EA03,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,19,0.946,2.341,0.705,0.983,15.7,,,,,,,
DW-S04-EA03,r-0.1-c,r-0.1-c,si,polygon,r,,,0.1,,,,-c,3D,17,0.149,0.693,0.599,0.155,16.2,,,,,,,
DW-S04-EA03,r-1.1-c,r-1.1-c,si,polygon,r,,,1.1,,,,-c,3D,26,0.710,0.930,1.085,0.713,5.4,,,,,,,
DW-S04-EA03,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,28,1.437,1.490,1.117,1.453,8.6,,,,,,,
DW-S04-EA03,r-port-1.1-c,r-port-1.1-c,si,polygon,r,,port,1.1,,,,-c,3D,7,0.101,0.300,0.579,0.102,9.4,,,,,,,
DW-S04-EA03,f-ll-bra-1.1,f-ll-bra-1.1,si,line,f,ll,bra,1.1,,,,cons,3D,2,,,,,,0.695,0.195,0.667,0.695,0.695,,
DW-S04-EA03,f-1.1-r,f-1.1-r,si,polygon,f,,,1.1,,,,-r,3D,23,2.223,2.329,1.162,2.241,7.3,,,,,,,
