Code,Wall,Body,Instance,Area_Cons_m2,N_Fragments,Width_Cons_m,Height_Cons_m,Area_Complete_m2,Area_Restituted_m2,LL_m,LL_Source,HH_m,HH_Source,DD_m,DD_Source,Area_Orig_m2,Orig_Source,Volume_Prism_m3,Index_Conserv_pct,QC_Notes
DW-S01-EA07,f,0.1,b,0.777,1,0.771,1.132,0.777,,,,,,,,0.777,poligon-c,,100.0,
DW-S01-EA12,f,0.1,,2.077,1,2.550,1.238,,,2.513,-c,,,,,,,,,
DW-S01-EA12,f,1.1,,1.342,1,1.639,1.063,,,2.513,prop:f-0.1-c,1.001,-c,0.299,-c,2.514,"rectangle(ll:prop:f-0.1-c,hh:-c)",0.752,53.4,
DW-S01-EA12,f,1.2,,0.592,1,1.407,0.929,,,2.513,prop:f-0.1-c,,,0.299,prop:f-1.1-c,,,,,
DW-S01-EA12,r,0.1,,1.550,1,1.535,1.422,,,1.501,-c,,,,,,,,,
DW-S01-EA12,r,1.1,,0.431,1,0.609,0.944,,,1.501,prop:r-0.1-c,,,0.260,-c,,,,,
DW-S01-EA12,r,1.2,,0.320,1,0.424,0.925,,,1.501,prop:r-0.1-c,1.068,-r,,,1.603,"rectangle(ll:prop:r-0.1-c,hh:-r)",,19.9,
DW-S01-EA15,f,0.1,,0.380,1,0.923,0.622,,,,,,,,,,,,,
DW-S01-EA15,f,1.1,,1.449,1,1.728,1.217,,2.047,,,,,,,2.047,poligon-r,,70.8,
DW-S01-EA16,f,0.1,,0.116,1,0.515,0.341,,,,,,,,,,,,,
DW-S01-EA17,f,0.1,,1.674,1,2.010,1.052,1.674,,,,,,,,1.674,poligon-c,,100.0,
DW-S01-EA17,f,1.1,,2.350,1,1.794,1.351,2.350,,,,,,,,2.350,poligon-c,,100.0,
DW-S01-EA62,f,1.1,,0.242,1,1.123,0.283,,1.532,,,,,,,1.532,poligon-r,,15.8,
DW-S01-EA71,f,0.1,,0.666,1,1.146,0.854,,,,,,,,,,,,,
DW-S01-EA18,f,0.1,,0.206,1,1.065,0.286,0.206,,,,,,,,0.206,poligon-c,,100.0,
DW-S01-EA18,f,1.1,,0.835,1,1.166,0.867,,1.187,,,,,,,1.187,poligon-r,,70.3,
DW-S01-EA36,f,0.1,,1.161,1,1.703,1.061,1.161,,,,,,,,1.161,poligon-c,,100.0,
DW-S01-EA36,f,1.1,,1.092,1,1.701,0.747,,,,,,,,,,,,,
DW-S01-EA36,r,0.1,,0.152,1,0.516,0.456,0.152,,,,,,,,0.152,poligon-c,,100.0,
DW-S01-EA36,r,1.1,,0.484,1,0.787,0.853,,,,,,,,,,,,,
DW-S01-EA40,f,0.1,,2.464,1,2.883,1.090,2.464,,,,,,,,2.464,poligon-c,,100.0,
DW-S01-EA40,f,1.1,,2.648,1,3.073,1.419,,,,,0.990,-c,,,,,,,
DW-S01-EA40,l,1.1,,1.604,1,1.433,1.649,,,,,,,,,,,,,
DW-S01-EA72,f,0.1,,2.356,1,2.350,1.202,2.356,,,,,,,,2.356,poligon-c,,100.0,
DW-S01-EA72,l,1.1,,,,,,,,2.369,-c,,,,,,,,,
DW-S01-EA72,r,1.1,,,,,,,,,,,,0.238,-c,,,,,
DW-S01-EA50,f,0.1,,1.441,1,2.960,0.911,1.441,,,,,,,,1.441,poligon-c,,100.0,
DW-S01-EA50,l,0.1,,0.940,1,2.004,0.906,0.940,,,,,,,,0.940,poligon-c,,100.0,
DW-S01-EA50,l,1.1,,0.364,1,1.429,0.990,,,,,0.982,-r,0.328,-c,,,,,
DW-S01-EA50,r,1.1,,,,,,,,,,,,0.249,-c,,,,,
DW-S03-EA01,f,0.1,,1.149,1,1.492,1.185,1.149,,,,,,,,1.149,poligon-c,,100.0,
DW-S03-EA01,f,1.1,,0.283,1,0.508,0.655,,,,,,,,,,,,,
DW-S03-EA01,l,0.1,,0.071,1,0.239,1.111,0.071,,,,,,,,0.071,poligon-c,,100.0,
DW-S03-EA01,l,1.1,,0.167,1,0.364,0.811,,,,,,,,,,,,,
DW-S04-EA01,f,0.1,,1.038,1,2.508,0.872,,,,,,,,,,,,,
DW-S04-EA01,f,1.1,,1.230,1,2.481,0.779,,,,,,,,,,,,,
DW-S04-EA03,f,0.1,,0.946,1,2.341,0.705,0.946,,,,,,,,0.946,poligon-c,,100.0,
DW-S04-EA03,f,1.1,,1.437,1,1.490,1.117,1.437,2.223,,,1.061,-r,,,1.437,poligon-c,,100.0,
DW-S04-EA03,r,0.1,,0.149,1,0.693,0.599,0.149,,,,,,,,0.149,poligon-c,,100.0,
DW-S04-EA03,r,1.1,,0.710,1,0.930,1.085,0.710,,,,,,,,0.710,poligon-c,,100.0,
DW-S04-EA04,f,0.1,,0.458,1,1.231,0.705,0.458,,,,,,,,0.458,poligon-c,,100.0,
DW-S04-EA04,f,1.1,,1.097,1,1.234,1.136,1.097,,,,0.939,-c,0.207,-c,1.097,poligon-c,0.227,100.0,
DW-S04-EA05,b,1.1,,,,,,,,,,1.001,-c,,,,,,,
DW-S04-EA05,f,0.1,,0.350,1,1.025,0.496,0.350,,,,,,,,0.350,poligon-c,,100.0,
DW-S04-EA05,f,1.1,,0.936,1,1.145,1.012,0.936,,,,,,0.235,-c,0.936,poligon-c,0.220,100.0,
DW-S04-EA09,f,0.1,a,0.638,1,1.661,0.707,0.638,,,,,,,,0.638,poligon-c,,100.0,
DW-S04-EA09,f,0.1,b,0.344,1,0.636,0.634,0.344,,,,,,,,0.344,poligon-c,,100.0,
DW-S04-EA09,f,0.2,,0.909,1,1.811,0.633,0.909,,,,,,,,0.909,poligon-c,,100.0,
DW-S04-EA09,f,1.1,,1.390,1,1.655,1.101,1.390,,,,0.850,-c,,,1.390,poligon-c,,100.0,
DW-S04-EA09,l,1.1,,0.294,1,0.387,0.952,0.294,,,,,,,,0.294,poligon-c,,100.0,
DW-S04-EA09,r,0.1,a,0.110,1,0.225,0.646,0.110,,,,,,,,0.110,poligon-c,,100.0,
DW-S04-EA09,r,0.1,b,0.059,1,0.225,0.509,0.059,,,,,,,,0.059,poligon-c,,100.0,
DW-S04-EA09,r,0.2,,0.288,1,0.824,0.515,0.288,,,,,,,,0.288,poligon-c,,100.0,
DW-S04-EA09,r,1.1,,0.651,1,0.952,0.908,0.651,,,,,,,,0.651,poligon-c,,100.0,
DW-S04-EA12,b,1.1,,,,,,,,,,0.805,-r,,,,,,,
DW-S04-EA12,f,0.1,,1.054,1,1.699,0.724,1.054,,,,,,,,1.054,poligon-c,,100.0,
DW-S04-EA12,f,1.1,,0.630,1,1.374,0.666,,,,,,,,,,,,,
DW-S04-EA12,l,0.1,,0.235,1,0.587,0.784,0.235,,,,,,,,0.235,poligon-c,,100.0,
DW-S04-EA12,l,1.1,,0.408,1,0.664,0.880,,,,,,,,,,,,,
DW-S04-EA14,f,0.1,,0.812,1,1.892,0.646,0.812,,,,,,,,0.812,poligon-c,,100.0,
DW-S04-EA14,f,1.1,,1.485,1,1.725,1.075,,,,,,,0.246,-c,,,,,
DW-S04-EA14,l,1.1,,0.405,1,0.538,1.076,0.405,,,,,,,,0.405,poligon-c,,100.0,
DW-S04-EA14,r,1.1,,0.361,1,0.729,0.635,,1.096,,,0.904,-r,0.202,-c,1.096,poligon-r,0.221,32.9,
DW-S04-EA15,b,1.1,,,,,,,,,,1.140,-r,,,,,,,
DW-S04-EA15,f,0.1,,0.867,1,1.978,0.792,0.867,,,,,,,,0.867,poligon-c,,100.0,
DW-S04-EA15,f,1.1,,1.027,1,1.725,1.141,,,,,,,,,,,,,
DW-S04-EA15,r,0.1,,0.247,2,0.867,0.554,0.247,,,,,,,,0.247,poligon-c,,100.0,
DW-S04-EA15,r,1.1,,0.245,1,0.543,1.044,0.245,,,,,,,,0.245,poligon-c,,100.0,
DW-S04-EA18,f,0.1,a,0.569,1,1.134,0.626,0.569,,,,,,,,0.569,poligon-c,,100.0,
DW-S04-EA18,f,0.1,b,0.274,1,0.579,0.551,0.274,,,,,,,,0.274,poligon-c,,100.0,
DW-S04-EA18,f,1.1,,1.688,1,2.791,0.880,,,,,0.859,-r,,,,,,,
DW-S04-EA18,l,0.1,,0.075,1,0.329,0.353,0.075,,,,,,,,0.075,poligon-c,,100.0,
DW-S04-EA18,l,1.1,,0.166,1,0.557,0.661,,,,,,,,,,,,,
DW-S04-EA18,r,0.1,,0.099,1,0.318,0.520,0.099,,,,,,0.205,-c,0.099,poligon-c,0.020,100.0,
DW-S04-EA18,r,1.1,,0.232,1,0.635,0.898,,,,,,,,,,,,,
DW-S05-EA01,f,0.1,,0.366,1,2.226,0.241,,,,,,,,,,,,,
DW-S05-EA01,f,1.1,,1.319,1,2.135,0.792,,,,,,,,,,,,,
DW-S05-EA01,l,1.1,,0.157,1,0.311,0.799,,,,,,,,,,,,,
DW-S06-EA02,b,1.1,,,,,,,,,,0.936,-c,,,,,,,
DW-S06-EA02,f,0.1,,0.932,1,1.084,1.212,0.932,,,,,,,,0.932,poligon-c,,100.0,
DW-S06-EA02,f,1.1,,0.674,1,1.012,0.892,,,,,,,0.208,-c,,,,,
DW-S06-EA02,r,0.1,,0.367,1,1.380,0.715,0.367,,,,,,,,0.367,poligon-c,,100.0,
DW-S06-EA02,r,1.1,,1.209,1,1.833,0.994,,,,,,,,,,,,,
